Timestamp,"Discord ID (e.g., WritingFates#7355)",TSM Vs Team Aster (Bo2) [1pt],9 Pandas Vs Evil Geniuses (Bo2) [1pt],Team Liquid Vs PSG.LGD (Bo2) [1pt],Execration Vs BetBoom Team (Bo2) [1pt],Xtreme Gaming Vs Tundra Esports (Bo2) [1pt],Talon Esports Vs Shopify Rebellion (Bo2) [1pt],Beastcoast Vs OG (Bo2) [1pt],Team SMG Vs Team Spirit (Bo2) [1pt],Team Liquid Vs Execration (Bo2) [1pt],TSM Vs PSG.LGD (Bo2) [1pt],Evil Geniuses Vs Team Aster (Bo2) [1pt],9 Panda Vs Gamin Gladiators (Bo2) [1pt],Shopify Rebellion Vs OG (Bo2) [1pt],Beastcoast Vs Tundra Esports   (Bo2) [1pt],Xtreme Gaming Vs Team Spirit (Bo2) [1pt],Talon Esports Vs Invictus Gaming (Bo2) [1pt]
4/28/2023 19:43:17,eonden#0225,Team Aster Victory,9 Pandas Victory,Team Liquid Victory,BetBoom Team Victory,Tunda Esports Victory,Shopify Rebellion Victory,Tie,Team Spirit Victory,Team Liquid Victory,PSG.LGD Victory,Tie,Gamin Gladiators Victory,Tie,Tundra Esports Victory,Team Spirit Victory,Tie
4/28/2023 20:24:51,Tino_#8214,Team Aster Victory,9 Pandas Victory,Team Liquid Victory,BetBoom Team Victory,Tunda Esports Victory,Tie,OG Victory,Tie,Team Liquid Victory,Tie,Team Aster Victory,Gamin Gladiators Victory,Tie,Tundra Esports Victory,Team Spirit Victory,Talon Esports Victory
4/28/2023 20:26:31,Kit#4497,Tie,Tie,PSG.LGD Victory,Tie,Tunda Esports Victory,Shopify Rebellion Victory,OG Victory,Tie,Tie,Tie,Tie,Tie,Tie,Tie,Tie,Tie
4/28/2023 20:27:32,WritingFates#7355,Team Aster Victory,Tie,Tie,BetBoom Team Victory,Tunda Esports Victory,Shopify Rebellion Victory,OG Victory,Team Spirit Victory,Team Liquid Victory,PSG.LGD Victory,Tie,Gamin Gladiators Victory,Tie,Tundra Esports Victory,Team Spirit Victory,Tie
4/28/2023 20:28:45,[/dev/grohl]#3505,Team Aster Victory,Evil Geniuses Victory,Team Liquid Victory,BetBoom Team Victory,Tunda Esports Victory,Shopify Rebellion Victory,Tie,Tie,Team Liquid Victory,Tie,Team Aster Victory,Gamin Gladiators Victory,Tie,Tundra Esports Victory,Team Spirit Victory,Tie
4/28/2023 21:15:49,waltz#8509,Team Aster Victory,9 Pandas Victory,Tie,BetBoom Team Victory,Tunda Esports Victory,Shopify Rebellion Victory,OG Victory,Team Spirit Victory,Team Liquid Victory,Tie,Team Aster Victory,Gamin Gladiators Victory,OG Victory,Tundra Esports Victory,Tie,Invictus Gaming Victory
4/28/2023 21:24:20,Rucket#8610,Team Aster Victory,Tie,Tie,BetBoom Team Victory,Tunda Esports Victory,Shopify Rebellion Victory,OG Victory,Team Spirit Victory,Team Liquid Victory,PSG.LGD Victory,Tie,Gamin Gladiators Victory,Tie,Tundra Esports Victory,Team Spirit Victory,Tie
4/28/2023 21:24:45,Puppets#4815,TSM Victory,Tie,Team Liquid Victory,BetBoom Team Victory,Tunda Esports Victory,Shopify Rebellion Victory,Tie,Team Spirit Victory,Team Liquid Victory,Tie,Evil Geniuses Victory,Gamin Gladiators Victory,Tie,Tie,Team Spirit Victory,Tie
4/28/2023 22:06:46,Super#2825 ,Team Aster Victory,Evil Geniuses Victory,Tie,BetBoom Team Victory,Tunda Esports Victory,Shopify Rebellion Victory,Tie,Team Spirit Victory,Team Liquid Victory,PSG.LGD Victory,Tie,Gamin Gladiators Victory,Tie,Beastcoast Victory,Team Spirit Victory,Invictus Gaming Victory
4/28/2023 23:02:46,SliceofToast#1845,Tie,Tie,Tie,BetBoom Team Victory,Tunda Esports Victory,Shopify Rebellion Victory,Tie,Team Spirit Victory,Team Liquid Victory,Tie,Tie,Gamin Gladiators Victory,Shopify Rebellion Victory,Tundra Esports Victory,Team Spirit Victory,Tie
4/28/2023 23:13:47,EgoErc#5563,Team Aster Victory,Tie,Team Liquid Victory,BetBoom Team Victory,Tunda Esports Victory,Shopify Rebellion Victory,OG Victory,Team Spirit Victory,Team Liquid Victory,Tie,Tie,Gamin Gladiators Victory,Tie,Tundra Esports Victory,Team Spirit Victory,Tie
4/29/2023 1:27:17,Bammboo#9725,Team Aster Victory,Tie,Team Liquid Victory,BetBoom Team Victory,Xtreme Gaming Victory,Shopify Rebellion Victory,Beastcoast Victory,Team Spirit Victory,Team Liquid Victory,TSM Victory,Team Aster Victory,Gamin Gladiators Victory,Shopify Rebellion Victory,Tie,Tie,Tie
4/29/2023 1:40:12,oppressive_hat#8015,Team Aster Victory,Tie,Tie,BetBoom Team Victory,Tie,Shopify Rebellion Victory,Tie,Team Spirit Victory,Team Liquid Victory,PSG.LGD Victory,Tie,Gamin Gladiators Victory,Tie,Tundra Esports Victory,Tie,Tie
4/29/2023 1:50:09,Vuvuzela Virtuoso Hans Rudolph#9703,Team Aster Victory,Tie,Tie,BetBoom Team Victory,Tunda Esports Victory,Shopify Rebellion Victory,OG Victory,Team Spirit Victory,Team Liquid Victory,PSG.LGD Victory,Tie,Tie,Tie,Tundra Esports Victory,Team Spirit Victory,Tie
4/29/2023 2:18:15,Asway#9085,Team Aster Victory,9 Pandas Victory,Team Liquid Victory,BetBoom Team Victory,Tunda Esports Victory,Shopify Rebellion Victory,OG Victory,Team Spirit Victory,Team Liquid Victory,PSG.LGD Victory,Team Aster Victory,Gamin Gladiators Victory,Tie,Tundra Esports Victory,Team Spirit Victory,Talon Esports Victory
4/29/2023 2:31:34,Gimpyjoe#6408,Team Aster Victory,Tie,Team Liquid Victory,Tie,Tunda Esports Victory,Shopify Rebellion Victory,OG Victory,Team Spirit Victory,Team Liquid Victory,PSG.LGD Victory,Tie,Gamin Gladiators Victory,Tie,Tundra Esports Victory,Team Spirit Victory,Tie
4/29/2023 2:55:28,cakes#6969,Team Aster Victory,Tie,Team Liquid Victory,BetBoom Team Victory,Tie,Shopify Rebellion Victory,Beastcoast Victory,Team Spirit Victory,Team Liquid Victory,TSM Victory,Tie,Tie,Shopify Rebellion Victory,Beastcoast Victory,Xtreme Gaming Victory,Talon Esports Victory
4/29/2023 3:34:18,Shap Daddy Happenin#5704,Team Aster Victory,Tie,Team Liquid Victory,BetBoom Team Victory,Tunda Esports Victory,Shopify Rebellion Victory,OG Victory,Team Spirit Victory,Team Liquid Victory,Tie,Tie,Tie,Tie,Tundra Esports Victory,Team Spirit Victory,Talon Esports Victory
4/29/2023 3:56:28,The_Blackbird#4337,Team Aster Victory,Tie,Tie,BetBoom Team Victory,Tunda Esports Victory,Shopify Rebellion Victory,OG Victory,Team Spirit Victory,Team Liquid Victory,Tie,Tie,Tie,Tie,Tundra Esports Victory,Tie,Tie
4/29/2023 4:43:56,Vermilion#1729,TSM Victory,Evil Geniuses Victory,Team Liquid Victory,BetBoom Team Victory,Tunda Esports Victory,Tie,OG Victory,Team Spirit Victory,Team Liquid Victory,Tie,Team Aster Victory,Gamin Gladiators Victory,OG Victory,Tundra Esports Victory,Team Spirit Victory,Invictus Gaming Victory
4/29/2023 4:58:59,GIRbazk#9938,Team Aster Victory,9 Pandas Victory,Team Liquid Victory,BetBoom Team Victory,Tunda Esports Victory,Shopify Rebellion Victory,Tie,Team Spirit Victory,Team Liquid Victory,PSG.LGD Victory,Team Aster Victory,Tie,Tie,Tundra Esports Victory,Team Spirit Victory,Tie
4/29/2023 5:14:15,Powder#0703,Tie,Tie,Team Liquid Victory,BetBoom Team Victory,Tunda Esports Victory,Tie,Tie,Team Spirit Victory,Team Liquid Victory,PSG.LGD Victory,Tie,Gamin Gladiators Victory,Tie,Beastcoast Victory,Team Spirit Victory,Tie
4/29/2023 6:32:33,Amity,Team Aster Victory,Tie,Tie,BetBoom Team Victory,Tunda Esports Victory,Shopify Rebellion Victory,OG Victory,Team Spirit Victory,Team Liquid Victory,PSG.LGD Victory,Tie,Tie,Tie,Tie,Team Spirit Victory,Tie
4/29/2023 6:44:49,cuddlz#9368,Team Aster Victory,Tie,Team Liquid Victory,BetBoom Team Victory,Tunda Esports Victory,Shopify Rebellion Victory,OG Victory,Team Spirit Victory,Team Liquid Victory,PSG.LGD Victory,Team Aster Victory,Gamin Gladiators Victory,Tie,Tundra Esports Victory,Team Spirit Victory,Tie
4/29/2023 7:58:22,Sidd#1337,TSM Victory,Evil Geniuses Victory,Team Liquid Victory,Tie,Tunda Esports Victory,Shopify Rebellion Victory,Tie,Team Spirit Victory,Team Liquid Victory,TSM Victory,Evil Geniuses Victory,Gamin Gladiators Victory,Tie,Tundra Esports Victory,Team Spirit Victory,Tie
4/29/2023 9:00:36,Bridge(4)Burner#2302,Team Aster Victory,Tie,Tie,BetBoom Team Victory,Tunda Esports Victory,Shopify Rebellion Victory,Tie,Team Spirit Victory,Team Liquid Victory,Tie,Tie,Tie,Shopify Rebellion Victory,Tundra Esports Victory,Team Spirit Victory,Tie
4/29/2023 9:28:15,OXD#9696,Team Aster Victory,Tie,Team Liquid Victory,BetBoom Team Victory,Tunda Esports Victory,Shopify Rebellion Victory,Tie,Team Spirit Victory,Team Liquid Victory,PSG.LGD Victory,Team Aster Victory,Tie,Tie,Tie,Team Spirit Victory,Tie
4/29/2023 9:29:25,MonoMithras#0876,Team Aster Victory,Tie,Team Liquid Victory,BetBoom Team Victory,Tunda Esports Victory,Shopify Rebellion Victory,Tie,Team Spirit Victory,Team Liquid Victory,PSG.LGD Victory,Tie,Gamin Gladiators Victory,Tie,Tundra Esports Victory,Team Spirit Victory,Tie
4/29/2023 10:13:28,PriscillAAH#6969,Team Aster Victory,Tie,Tie,BetBoom Team Victory,Tunda Esports Victory,Shopify Rebellion Victory,OG Victory,Team Spirit Victory,Team Liquid Victory,PSG.LGD Victory,Tie,Gamin Gladiators Victory,Shopify Rebellion Victory,Tundra Esports Victory,Team Spirit Victory,Talon Esports Victory
4/29/2023 10:23:23,Tetsuya#9625,Team Aster Victory,Tie,Team Liquid Victory,BetBoom Team Victory,Tie,Shopify Rebellion Victory,Tie,Team Spirit Victory,Team Liquid Victory,Tie,Tie,Tie,Tie,Tie,Tie,Tie
4/29/2023 10:38:50,srinjit_v#5746,Team Aster Victory,Tie,Tie,BetBoom Team Victory,Tie,Shopify Rebellion Victory,OG Victory,Tie,Team Liquid Victory,PSG.LGD Victory,Tie,Tie,Shopify Rebellion Victory,Tundra Esports Victory,Tie,Talon Esports Victory