,DISCORD_NAME,DAYS_RESPONDED,MATCHES_PREDICTED,9 Pandas,Beastcoast,BetBoom Team,Evil Geniuses,Execration,Gaimin Gladiators,Invictus Gaming,OG,PSG.LGD,Shopify Rebellion,TSM,Talon Esports,Team Aster,Team Liquid,Team SMG,Team Spirit,Tundra Esports,Xtreme Gaming,NA_BIAS,SA_BIAS,WEU_BIAS,EEU_BIAS,SEA_BIAS,CN_BIAS
0,????,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
1,Amity,5.0,72.0,4.5,4.0,4.0,4.5,1.0,6.0,1.5,5.5,4.0,6.0,2.0,3.0,4.5,5.5,2.0,5.5,6.0,2.5,1.0,1.0625,1.4375,1.1666666666666667,0.5,0.78125
2,Asway,5.0,72.0,3.5,3.0,3.5,1.0,0.5,7.5,1.0,6.0,5.0,6.5,2.0,3.0,6.5,6.5,0.5,5.5,7.0,3.5,1.0625,0.5,1.6875,1.0416666666666667,0.3333333333333333,1.0
3,Bammboo,5.0,72.0,4.0,6.5,2.0,4.5,0.5,4.5,4.0,0.0,2.0,7.5,5.5,3.5,6.0,7.0,2.5,4.0,4.5,3.5,1.625,1.375,1.0,0.8333333333333334,0.5416666666666666,0.96875
4,BeefBomber,1.0,16.0,0.0,2.0,1.0,1.0,0.5,0.5,0.0,1.0,2.0,1.5,1.5,0.0,0.5,1.0,0.5,0.5,2.0,0.5,1.6875,1.6875,1.265625,0.5625,0.375,0.84375
5,Bridge(4)Burner,5.0,72.0,4.0,3.5,4.5,5.0,1.5,6.0,2.0,4.0,3.0,6.0,2.0,2.5,4.5,5.5,1.5,6.5,7.0,3.0,1.0,1.0625,1.40625,1.25,0.4583333333333333,0.78125
6,Cakes,4.0,64.0,2.5,4.0,3.0,4.0,1.0,5.5,1.5,2.0,1.5,7.0,4.0,4.0,3.5,7.0,0.5,3.0,4.0,6.0,1.546875,1.125,1.30078125,0.796875,0.515625,0.87890625
7,DAVID CHANG FANBOY,3.0,48.0,2.0,3.5,2.0,3.5,1.5,5.5,1.0,5.5,2.5,4.5,0.5,2.5,2.0,4.5,0.5,2.0,3.0,1.5,0.9375,1.3125,1.734375,0.75,0.5625,0.65625
8,Doxs,3.0,48.0,3.0,3.0,3.5,3.5,0.5,4.0,1.5,4.0,3.0,4.0,0.5,1.5,2.5,3.5,1.0,3.0,3.0,3.0,0.84375,1.21875,1.359375,1.1875,0.375,0.9375
9,EgoErc,5.0,72.0,4.0,3.0,3.0,4.5,1.5,7.0,2.5,4.5,3.0,5.5,2.0,3.5,5.0,6.0,2.0,6.0,6.5,2.5,0.9375,0.9375,1.5,1.0833333333333333,0.5833333333333334,0.8125
10,Essex,3.0,48.0,2.0,3.5,3.0,3.0,0.5,4.5,1.5,3.0,2.5,4.0,2.0,1.5,2.5,4.0,2.0,3.5,3.0,2.0,1.125,1.21875,1.359375,1.0625,0.5,0.796875
11,GIRbazk,4.0,56.0,4.0,2.5,3.0,3.0,1.0,5.0,1.0,4.0,1.5,5.0,2.0,2.5,3.0,5.5,2.0,5.5,5.5,0.0,1.125,0.8839285714285714,1.6071428571428572,1.3392857142857144,0.5892857142857143,0.4419642857142857
12,GMT,4.0,56.0,3.0,3.0,2.5,3.5,0.0,5.0,1.0,3.5,3.5,6.0,2.5,1.5,3.0,5.0,0.0,3.5,4.5,5.0,1.3660714285714284,1.0446428571428572,1.4464285714285716,0.9642857142857144,0.1607142857142857,1.0044642857142858
13,Gimpyjoe,5.0,72.0,3.5,4.0,2.0,4.0,1.5,7.5,3.0,3.5,3.5,6.5,1.5,2.5,5.0,7.5,2.5,6.5,5.0,2.5,1.0,1.0,1.46875,1.0,0.5416666666666666,0.875
14,Kit,5.0,72.0,4.0,3.5,3.5,3.5,2.5,6.5,3.5,5.0,5.0,5.0,3.5,3.0,3.0,4.5,3.0,3.5,6.0,3.5,1.0625,0.875,1.375,0.9166666666666666,0.7083333333333334,0.9375
15,MonoMithras,4.0,64.0,1.5,2.5,3.0,3.0,1.5,6.5,1.5,6.0,3.5,6.5,2.0,1.5,4.5,6.5,2.0,4.5,5.5,2.0,1.1953125,0.7734375,1.72265625,0.84375,0.46875,0.80859375
16,OXD,5.0,72.0,4.5,3.5,6.0,4.0,0.5,6.0,2.0,5.5,3.0,6.0,1.5,2.0,4.5,6.0,1.5,6.0,5.5,4.0,0.9375,0.9375,1.4375,1.375,0.3333333333333333,0.84375
17,Powder,5.0,72.0,3.5,4.5,4.5,4.0,2.0,6.0,3.5,4.0,4.0,5.0,2.0,4.0,3.5,6.5,2.5,5.5,4.5,2.5,0.875,1.0625,1.3125,1.125,0.7083333333333334,0.84375
18,PriscillAAH,4.0,56.0,2.5,3.0,5.0,2.5,0.0,6.0,0.5,5.0,3.5,6.0,1.5,2.0,3.0,4.0,0.0,4.0,6.0,1.5,1.2053571428571428,0.8839285714285714,1.6875,1.232142857142857,0.21428571428571427,0.6830357142857142
19,Puppets,4.0,56.0,3.0,5.5,3.0,2.5,2.0,4.5,2.0,4.5,2.0,4.0,3.0,1.5,3.0,5.0,1.5,4.5,4.0,0.5,1.125,1.2857142857142856,1.4464285714285716,1.125,0.5357142857142857,0.6026785714285714
20,Rucket,5.0,72.0,3.5,3.0,4.5,5.0,1.0,6.5,2.5,5.0,5.0,6.0,1.5,5.0,4.0,5.0,1.5,5.5,5.5,2.0,0.9375,1.0,1.375,1.125,0.625,0.84375
21,Shap Daddy Happenin,5.0,72.0,4.5,1.0,4.5,5.5,2.0,6.5,2.5,3.5,1.5,7.0,0.5,5.5,4.5,6.5,2.0,6.5,5.0,3.0,0.9375,0.8125,1.34375,1.2916666666666667,0.7916666666666666,0.71875
22,Sidd,5.0,72.0,2.5,5.5,2.0,5.0,1.5,7.5,1.5,6.0,1.0,6.0,6.0,1.5,3.5,7.0,1.5,5.5,7.0,1.5,1.5,1.3125,1.71875,0.8333333333333334,0.375,0.46875
23,SliceofToast,2.0,32.0,1.0,2.0,2.0,1.5,0.5,2.5,1.0,1.5,2.5,4.0,2.0,0.5,1.5,2.5,1.0,2.5,3.0,0.5,1.6875,0.984375,1.3359375,1.03125,0.375,0.7734375
24,Super,5.0,72.0,0.5,6.0,3.5,5.0,3.5,7.0,3.5,6.5,4.5,7.0,1.0,2.5,4.5,6.5,1.5,4.0,4.0,1.0,1.0,1.375,1.5,0.6666666666666666,0.625,0.84375
25,Tetsuya,2.0,32.0,2.0,2.0,2.0,1.5,0.5,1.5,0.5,2.5,1.5,2.5,1.0,1.5,2.5,3.5,0.5,2.0,2.0,2.5,0.984375,0.984375,1.3359375,1.125,0.46875,0.984375
26,The_Blackbird,5.0,72.0,4.5,4.0,3.5,4.5,2.0,6.5,2.0,5.0,3.5,5.5,2.5,3.0,3.0,6.0,2.5,4.5,6.5,3.0,1.0,1.0625,1.5,1.0416666666666667,0.625,0.71875
27,Tino_,5.0,72.0,5.5,3.0,4.5,2.5,1.0,7.5,1.5,4.5,1.0,6.5,3.0,4.0,5.0,6.0,3.0,4.0,7.5,2.0,1.1875,0.6875,1.59375,1.1666666666666667,0.6666666666666666,0.59375
28,Vermilion,5.0,72.0,1.5,4.5,2.5,3.5,2.5,7.0,4.0,6.0,4.0,5.5,3.5,3.0,3.5,8.0,1.5,4.5,5.5,1.5,1.125,1.0,1.65625,0.7083333333333334,0.5833333333333334,0.8125
29,Vuvuzela Virtuoso Hans Rudolph,5.0,72.0,3.5,2.5,3.5,4.0,0.5,6.5,1.5,4.5,4.5,6.0,1.5,2.0,5.0,7.0,1.5,6.5,6.5,5.0,0.9375,0.8125,1.53125,1.125,0.3333333333333333,1.0
30,Waltz,4.0,64.0,1.5,2.5,4.0,1.5,0.5,7.0,2.0,7.5,3.5,5.5,3.0,2.0,5.5,5.5,2.0,3.0,5.0,2.5,1.1953125,0.5625,1.7578125,0.796875,0.421875,0.94921875
31,WritingFates,5.0,72.0,3.5,2.5,4.5,4.5,0.5,7.0,2.0,4.5,4.0,6.0,1.5,2.5,4.0,6.5,2.5,6.5,6.5,3.0,0.9375,0.875,1.53125,1.2083333333333333,0.4583333333333333,0.8125
32,Xan,1.0,16.0,0.0,2.0,2.0,0.5,0.5,2.0,0.5,1.0,1.0,1.5,1.0,0.0,0.0,1.0,0.5,1.0,1.0,0.5,1.40625,1.40625,1.40625,1.125,0.375,0.5625
33,[/dev/grohl],5.0,72.0,2.0,4.5,4.5,3.0,2.0,8.0,2.5,5.0,2.5,7.0,2.0,3.0,5.0,7.0,2.0,3.0,6.5,2.5,1.125,0.9375,1.65625,0.7916666666666666,0.5833333333333334,0.78125
34,cuddlz,5.0,72.0,2.5,3.0,2.5,2.5,0.5,6.5,1.0,7.0,4.5,7.0,3.0,2.0,6.5,7.5,2.0,5.5,6.5,2.0,1.25,0.6875,1.71875,0.875,0.375,0.875
35,eonden,5.0,72.0,4.5,4.5,4.0,4.0,0.0,7.5,2.5,3.0,4.5,6.5,2.0,2.5,3.5,6.0,0.5,6.5,7.0,3.0,1.0625,1.0625,1.46875,1.25,0.25,0.84375
36,oppressive_hat,5.0,72.0,3.5,3.5,4.0,4.0,1.0,7.5,3.5,4.5,4.0,6.0,2.0,2.5,5.0,5.0,1.5,5.0,5.0,4.5,1.0,0.9375,1.375,1.0416666666666667,0.4166666666666667,1.0625
37,pwningdude,2.0,32.0,1.5,4.0,0.5,3.0,0.0,2.0,2.0,4.0,2.0,2.0,3.0,1.0,2.0,2.0,1.0,2.0,0.0,0.0,1.40625,1.96875,1.125,0.75,0.375,0.84375
38,seebs,2.0,32.0,1.5,3.0,2.5,2.0,0.0,2.0,1.0,2.5,2.5,2.5,1.5,0.5,1.5,2.5,1.0,1.5,2.5,1.5,1.125,1.40625,1.3359375,1.03125,0.28125,0.9140625
39,srinjit_v,5.0,72.0,3.5,1.5,2.0,4.5,0.5,4.5,2.0,3.0,6.5,6.5,2.5,4.5,5.0,7.0,1.5,6.0,5.0,6.0,1.125,0.75,1.21875,0.9583333333333334,0.5416666666666666,1.21875
